2026-05-21 19:15:45 | INFO     | utils.excel_utils              | Reading Excel file: C:\Users\Swathi Anand\PycharmProjects\GUVI_HCL_TASK15_DataDriven&KeywordDrivenTestingFramework_May2026\utils\..\data\login_test_data.xlsx
2026-05-21 19:15:45 | DEBUG    | utils.excel_utils              | Loaded row 2 → TC_01
2026-05-21 19:15:45 | DEBUG    | utils.excel_utils              | Loaded row 3 → TC_02
2026-05-21 19:15:45 | DEBUG    | utils.excel_utils              | Loaded row 4 → TC_03
2026-05-21 19:15:45 | DEBUG    | utils.excel_utils              | Loaded row 5 → TC_04
2026-05-21 19:15:45 | DEBUG    | utils.excel_utils              | Loaded row 6 → TC_05
2026-05-21 19:15:45 | INFO     | utils.excel_utils              | Total rows loaded: 5
2026-05-21 19:15:45 | INFO     | test_login_ddtf                | ======================================================================
2026-05-21 19:15:45 | INFO     | test_login_ddtf                | Starting Test : TC_01
2026-05-21 19:15:45 | INFO     | test_login_ddtf                | Username      : Admin
2026-05-21 19:15:45 | INFO     | test_login_ddtf                | Password      : ***
2026-05-21 19:15:45 | INFO     | test_login_ddtf                | Tester        : Swathi Anand
2026-05-21 19:15:45 | INFO     | test_login_ddtf                | Excel Row     : 2
2026-05-21 19:15:45 | INFO     | pages.login_page               | Opening login page
2026-05-21 19:15:45 | INFO     | pages.login_page               | Opening URL: https://opensource-demo.orangehrmlive.com
2026-05-21 19:15:49 | INFO     | pages.login_page               | Waiting for visible element: ('xpath', "//input[@name='username']")
2026-05-21 19:15:49 | INFO     | pages.login_page               | Current URL: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2026-05-21 19:15:49 | INFO     | test_login_ddtf                | Application Opened : https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2026-05-21 19:15:49 | INFO     | pages.login_page               | Performing login
2026-05-21 19:15:49 | INFO     | pages.login_page               | Entering username: Admin
2026-05-21 19:15:49 | INFO     | pages.login_page               | Typing 'Admin' into Username
2026-05-21 19:15:49 | INFO     | pages.login_page               | Waiting for visible element: ('xpath', "//input[@name='username']")
2026-05-21 19:15:49 | INFO     | pages.login_page               | Entering password
2026-05-21 19:15:49 | INFO     | pages.login_page               | Typing '***' into Password
2026-05-21 19:15:49 | INFO     | pages.login_page               | Waiting for visible element: ('xpath', "//input[@name='password']")
2026-05-21 19:15:49 | INFO     | pages.login_page               | Clicking Login button
2026-05-21 19:15:49 | INFO     | pages.login_page               | Clicking element: ('xpath', "//button[@type='submit']")
2026-05-21 19:15:49 | INFO     | pages.login_page               | Waiting for clickable element: ('xpath', "//button[@type='submit']")
2026-05-21 19:15:51 | INFO     | test_login_ddtf                | Login form submitted
